|LANDXADDRESSPOINT|LANDYADDRESSPOINT|NAME|DESCRIPTION|INC_CRC|FMEL_UPD_D|HYPERLINK
137|20860.1641|35455.875|Eng Kong Garden Playground|Located along Lorong Kismis and Eng Kong Terrace|ADB5ACEDD0C508B1|20200218182414|
138|39808.5|33450.3125|Sennett Avenue Open Space|Sennett Ave|AABAA7518ACA5AC5|20200218182414|
139|37061.043|34398.832|Interim Park At Lengkong Enam|Along Jalan Selamat and Lengkong Tujuh|BA00DDAB0F3E954D|20200218182414|
140|41428.6367|34074.3633|Pesari Walk Playground|Along Taman Bedok|171B1A8D0BCD056B|20200218182414|
141|43451.0938|38322.770000000004|Changi Heights Playground|Jalan Terang Bulan|09DE4312CEE2D693|20200218182414|
142|37163.5352|34579.293|Jalan Senang Playground|Along Jalan Senang|927944CDCCC7E47B|20200218182414|
143|37010.8945|33072.043|Telok Kurau Park|A green space along Bedok Reservoir PCN. Entrance along Joo Chiat Place, Joo Chiat Walk, Joo Chiat Ave and Lorong J Telok Kurau (Road)|6FCD6CEF6885DDAA|20200218182414|
144|30590.9219|40986.6367|Sunrise Place Playground|Located along Sunrise Place|622FBEF14C816531|20200218182414|
145|31939.73|40381.2578|Seletar Terrace Playground|Located along Seletar Terrace|6C996D80208497AB|20200218182414|
146|25555.502|39611.75|Upper Peirce Reservoir Park|Along Old Upper Thomson Road|EC9FDBFD4393F73A|20200218182414|www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/upper-peirce-reservoir-park
147|31013.2949|37604.82|Tai Hwan Terrace Playground|Bounded by Tai Hwan Grove and Tai Hwan Terrace|51DC303FD7651D0F|20200218182414|
148|21980.32|46469.1133|Woodlands Town Park East|Along Woodlands street 13|7ED2BECE2F8269E3|20200218182414|
149|17110.896500000003|46876.9766|Sungei Buloh Wetland Reserve|"Visitor Centre:
60 Kranji Way, #01-00
Singapore 739453
Wetland Centre:
301 Neo Tiew Crescent
Singapore 718925

Parking lots are available near both entrances."|085E18CF2019E327|20200218182414|www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/sungei-buloh-wetland-reserve
150|30990.6621|41291.72|Tamarind Road Playground|Tamarind Road|09819F1DC27928BB|20200218182414|
151|22079.2949|48257.7734|Woodlands Waterfront Park|Admiralty Road West|01E36C27ADF1A692|20200218182414|
152|28134.8164|39334.5273|Ellington Square Playground|Near Ang Mo Kio Ave 2/ Ang Mo Kio Street 11 and Ellington Square|F5CF4377C8B5A14D|20200218182414|
153|33556.49|36225.770000000004|Thrift Drive Open Space|Green open space along Upper Paya Lebar (Road) and along Thrift Drive (Road), facing Jalan Gotong Royong (Road)|0CD00CC02BF36ADD|20200218182414|
154|30105.2617|41336.7148|Cactus Road Playground|Located in Cactus Rd|BEF6EFD284E92D21|20200218182414|
155|28138.154300000002|40210.168|Serenade Walk Playground|Serenade walk road|C2CF14521E3B39D4|20200218182414|
156|27614.88|39497.5156|Gelenggang Park|Upper Thomson Road behind ESSO station.  Junction of Jalan Kuras/Jalan Gelenggang|B59FA0E862861781|20200218182414|
157|33199.418|39000.64|Park Villas Terrace Playground|Along Hougang Ave 2 and Park Villas Terrace|A9434EB7E9677E3D|20200218182414|
158|27292.834000000003|46782.4141|Jalan Kemuning Park|Off Sembawang Road/Jalan Kemuning Road|CE4D5D08BBC01CCD|20200218182414|
159|30537.6133|41132.043|Sunrise Terrace Open Space|Located along Sunrise Terrace|122B1D3AFC079CA8|20200218182414|
160|30692.1934|40994.270000000004|Sunrise Close Playground|Located at the junction of Sunrise Ave & Sunrise Place|05830DBD3D09DA63|20200218182414|
161|27908.791|39776.2734|Thomson Walk Playground|Thomson Walk Road|D257368CC200724B|20200218182414|
162|31300.27|40690.1953|Mimosa Road Playground|Located at Mimosa Crescent next to Mimosa Park Condo|7123569049B86143|20200218182414|
163|31400.24|37966.625|Chartwell Drive Park|Along Chartwell Drive|48DD42ABD462F168|20200218182414|
164|26585.377|43057.5859|Springside Park|Can be seen from the main road|848D9F18FD8CAA80|20200218182414|
165|28195.1328|40987.8438|Florissa Park Playground|Near Lentor Loop and within Florissa Park|C635184863DD7F95|20200218182414|
166|15377.1445|44667.3125|Kranji Marshes|"Kranji Gate:
11 Neo Tiew Lane 2,
Singapore 718814"|F776651BCCCA71C7|20200218182414|www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/kranji-marshes
167|28407.9023|48792.8867|Janggus Garden|Off Sembawang Road/Janggus  Road|C5BEF6020AC6C9BF|20200218182414|
168|29424.582000000002|29209.8516|Ann Siang Hill Park|Entrance via Ann Siang Road, Ann Siang Hill and Amoy Street|A3861CAF6D92A3C6|20200218182414|
169|28901.511700000003|29285.4824|Duxton Plain Park|Entrance via New Bridge Road, Neil Road, Kreta Ayer Road and Yan Kit Road|26B7D581B2162D25|20200218182414|
170|28195.6855|46590.4531|Yishun Neighbourhood Park|Bound by Yishun Ave 2, Ave 7 and St 22. Yishun St 20 leads straight to the park.|9D531CC4CC25FAEE|20200218182414|www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/yishun-neighbourhood-park
171|38918.97|33128.28|Tanah Puteh Park|Jalan Tanah Puteh|C32F84850A50B2E9|20200218182414|
172|40304.340000000004|35024.48|Jalan Pari Dedap Playground|Jalan Pari Dedap|B253351D85E65E0A|20200218182414|
173|40583.168|34025.1172|Jalan Limau Kasturi Playground|Junction of Jalan Limau Kasturi and Jalan Limau Nipis|9257829B06B65D33|20200218182414|
174|32200.668|42349.2734|Dew Garden|Jalan Tari Payong|B1087E9F050C5D64|20200218182414|
175|30607.8359|41066.14|Sunrise Way Playground|Located along Sunrise Way|5AD78C5AAD9DF46D|20200218182414|
176|33398.23|36545.88|Jalan Kelichap Playground|Located along Jalan Kelichap (Road) is a central green space surrounded by residential houses in Tai keng gardens Estate|E320990175BAA58F|20200218182414|
177|37822.29|33765.1523|Interim Park at Terang Bulan Avenue|Between New Upper Changi Road and Terang Bulan Ave|B6D8116DB09F97B6|20200218182414|
178|41901.76|35690|Sunbird Circle Playground|Sunbird Circle|F29F4C63B7397725|20200218182414|
179|42136.54|36470.23|Jalan Pelatok Playground|Jalan Pelatok|5C59D5B40A6ADC9A|20200218182414|
180|40565.69|34058.4|Jalan Limau Kasturi Open Space|Junction of Jalan Limau Kasturi and Jalan Limau Nipis|E576647428D29775|20200218182414|
181|45029.7422|41523.58|Changi East Boardwalk|Along Changi Village Road near Civil Service Club|75B94ABAD360C035|20200218182414|
182|27541.654300000002|40439.168|Teacher's Estate Playground|Teacher's estate , opposite shop houses|77203A0769DABF8D|20200218182414|
183|38070.4|32588.9766|East Coast Terrace Park|2 parts of the Park, bounded by East Coast Avenue and Marine Parade Road|6D0045A80FDBB63B|20200218182414|
